"id","cueillette_id","proprio_id"
355034,362016,355004
355049,362016,362001
355059,362016,346010
355103,362016,362002
355142,362016,348003
355143,362016,365002
355147,362016,362018
355171,362016,350007
355197,362016,350012
355202,362016,362212
355227,378013,365230
355232,378013,358200
358025,362016,365011
358059,362016,141008
358086,362016,366088
358103,362016,360102
358104,362016,156014
358111,362016,219046
358114,362016,156011
358119,362016,362085
358145,362016,366133
358149,362016,360065
358153,362016,366168
358164,362016,354001
358180,362016,358178
358204,378013,348011
358238,378013,360129
358244,378013,341018
358273,378013,360128
358321,358302,297060
358330,358302,158005
358342,358302,183007
358343,358302,358213
358357,358302,366330
358362,358302,358156
358376,358302,364149
358383,358302,364393
358422,358302,365444
358424,358302,378200
358425,358302,362002
358434,358302,184028
360009,362016,347002
360017,362016,351004
360019,362016,367005
360025,362016,347019
360028,362016,362042
360057,362016,348011
360060,362016,185002
360073,362016,297060
360084,362016,362102
360123,362016,360008
360145,362016,366079
360150,362016,364168
360176,362016,367126
361002,362016,138003
362048,362016,364027
362070,362016,358058
362119,362016,158005
362131,362016,360129
362143,362016,362062
362156,362016,347016
362172,362016,348009
362185,362016,360171
362199,362016,367199
364050,362016,366034
364064,362016,240003
364076,362016,348012
364093,362016,358077
364102,362016,360085
364109,362016,364002
364110,362016,358055
364124,362016,364121
364159,362016,
364195,362016,360168
364201,362016,184035
364210,362016,358162
364247,378013,365056
364255,378013,161021
364269,378013,349001
364308,378013,184028
364361,358302,350006
364368,358302,357001
364375,358302,366050
364382,358302,355091
364388,358302,212002
364396,358302,378163
364402,358302,360008
364409,358302,364002
364421,358302,354001
364437,358302,141009
365020,362016,365006
365032,362016,216055
365064,362016,162020
365066,362016,341010
365071,362016,357001
365075,362016,362082
365098,362016,346009
365109,362016,341018
365140,362016,347001
365150,362016,364156
365176,362016,364179
365180,362016,355112
365182,362016,184028
365192,362016,365104
365233,378013,348009
365237,378013,366005
365244,378013,156014
365251,378013,157003
365263,378013,346012
365265,378013,347001
365273,378013,358178
365279,378013,364288
365282,378013,366257
365292,378013,379076
365311,378013,358043
365352,358302,362018
365379,358302,362108
365383,358302,367057
365386,358302,366334
365393,358302,362062
365412,358302,351004
365434,358302,351001
366053,362016,360036
366067,362016,365056
366076,362016,365069
366090,362016,358091
366097,362016,355094
366105,362016,157003
366110,362016,360111
366117,362016,346008
366118,362016,360128
366126,362016,364149
366131,362016,355149
366132,362016,364158
366144,362016,351008
366146,362016,352022
366148,362016,358138
366162,362016,358005
366163,362016,365174
366188,362016,358173
366192,362016,183033
366201,378013,141002
366202,378013,364027
366204,378013,297060
366217,378013,360065
366225,378013,158005
366251,378013,381034
366253,378013,364268
366254,378013,358091
366260,378013,367022
366264,378013,358156
366294,358302,141002
366308,358302,162020
366310,358302,367005
366313,358302,358183
366326,358302,341018
366355,358302,346009
366357,358302,156014
366366,358302,365011
367025,362016,141002
367051,362016,164003
367052,362016,346012
367079,362016,366073
367087,362016,358073
367118,362016,367115
367138,362016,360133
367145,362016,364147
367152,362016,349004
367158,362016,212002
367176,362016,360153
367194,362016,166001
367196,362016,367057
